SORT;GEO/TIME;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
EEX;Spain;0,9;1,0;1,0;1,0;1,1;1,1;1,0;0,9;0,8;0,9;0,9;0,8
EEX;France;0,9;0,9;0,9;0,9;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9
EEX;Italy;0,8;0,7;0,8;0,8;0,9;0,9;0,9;0,9;1,0;0,9;0,9;0,9
EEX;Latvia;0,7;0,7;0,9;0,8;0,2;0,3;0,7;0,7;0,7;0,7;0,7;0,5
EEX;Lithuania;0,6;0,8;0,9;0,8;1,2;1,3;0,7;0,8;0,5;0,6;0,5;0,5
EEX;Luxembourg;1,1;1,0;1,1;1,1;1,3;1,1;1,1;1,1;1,0;0,9;0,9;0,8
EEX;Netherlands;1,5;1,5;1,5;1,5;1,7;1,6;1,6;1,5;1,5;1,4;1,4;1,4
EEX;Austria;0,5;0,5;0,5;0,5;0,5;0,6;0,5;0,5;0,4;0,5;0,4;0,4
EEX;Poland;0,6;0,7;0,6;0,7;0,7;0,7;0,7;0,6;0,6;0,6;0,6;0,4
EEX;Portugal;0,6;0,6;0,6;0,6;0,6;0,7;0,7;0,6;0,6;0,6;0,6;0,6
EEX;Romania;0,3;0,4;0,4;0,5;0,6;0,8;0,9;0,8;0,8;0,8;1,0;0,6
EEX;Slovenia;0,8;0,8;0,7;0,8;0,9;0,7;0,8;0,8;0,8;1,0;1,0;0,6
EEX;Slovakia;0,8;0,8;0,7;0,8;1,0;0,9;0,8;0,8;0,8;0,8;1,0;0,7
EEX;Finland;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,3;0,3;0,2;0,2
EEX;United Kingdom;1,4;0,9;0,9;0,9;1,0;1,0;0,9;0,8;0,8;0,8;0,8;0,7
EEX;TOT;16,3;16,2;16,1;16,6;17,6;16,6;16,5;17,4;17,2;17,0;17,1;14,6
EFP;Belgium;4.43;4.48;4.49;4.37;4.15;4.24;4.11;4.34;4.26;4.15;3.88;3.84
EFP;Czechia;3.46;3.66;3.71;3.7;3.3;3.67;3.6;3.22;3.31;3.36;3.38;3.43
EFP;Denmark;4.79;4.72;4.72;4.66;4.21;4.26;4.15;4.11;4.16;4.24;4.39;4.18
EFP;Germany;2.94;3.1;3.12;3.06;2.93;3.17;3.13;3.07;3.07;3.02;3;2.97
EFP;Estonia;4.16;4.62;4.55;3.82;3.59;3.62;3.44;4.2;3.67;4.08;4.32;4.33
EFP;Greece;3.37;3.47;3.66;3.38;3.27;3;2.8;2.63;2.42;2.55;2.51;2.62
EFP;Spain;3.22;3.33;3.4;3.19;2.73;2.63;2.5;2.28;2.38;2.26;2.42;2.48
